#CODIGO,DESCRICAO
"01","Indeterminado - ENCERRADO"
"02","Fundação - ENCERRADO"
"03","Renovação - ENCERRADO"
"04","Primeiro Desbaste - ENCERRADO"
"05","Segundo Desbaste - ENCERRADO"
"06","Terceiro Desbaste - ENCERRADO"
"07","Primeiro Corte - ENCERRADO"
"08","Segundo Corte - ENCERRADO"
"09","Terceiro Corte - ENCERRADO"
"10","Quarto Corte - ENCERRADO"
"11","Corte Raso Final"
"12","Corte Raso Intermediário - ENCERRADO"
"13","Demais Cortes - ENCERRADO"
"21","Semestral"
"22","Anual"
"23","Bienal"
"24","Cria/Recria/Engorda (Ciclo Completo)"
"50","Creche - ENCERRADO"
"51","Cria ou Multiplicação"
"52","Cria/Creche - ENCERRADO"
"53","Cria/Recria"
"54","Cria/Recria/Engorda - ENCERRADO"
"55","Engorda"
"56","Recria"
"57","Recria e Engorda"
"58","Recria/Terminação - ENCERRADO"
"59","Terminação - ENCERRADO"
"00","Não se aplica"
"88","Regime de Integração"
"61","Cria e Engorda"
"25","Colheita"
"70","Criação sob condições de bem-estar animal"
"90","Retenção de Matrizes"
"60","Engorda em confinamento"
